https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1693004400000,2023-08-25 23:00:00,LTC/USD,65.12,65.2,64.96,65.09,99.76151,6493.4766859
1693000800000,2023-08-25 22:00:00,LTC/USD,65.2,65.23,65.03,65.12,27.31649,1778.8498288000003
1692997200000,2023-08-25 21:00:00,LTC/USD,65.12,65.2,65.0,65.2,36.35999,2370.6713480000003
1692993600000,2023-08-25 20:00:00,LTC/USD,64.85,65.12,64.82,65.12,15.21456,990.7721472000001
1692990000000,2023-08-25 19:00:00,LTC/USD,65.16,65.29,64.83,64.85,6.31024,409.219064
1692986400000,2023-08-25 18:00:00,LTC/USD,64.55,65.2,64.37,65.16,533.65554,34772.994986399994
1692982800000,2023-08-25 17:00:00,LTC/USD,64.25,64.55,64.23,64.55,321.30804,20740.433982
1692979200000,2023-08-25 16:00:00,LTC/USD,64.77,64.84,64.22,64.25,141.73608,9106.54314
1692975600000,2023-08-25 15:00:00,LTC/USD,64.23,64.94,64.05,64.77,139.36482,9026.6593914
1692972000000,2023-08-25 14:00:00,LTC/USD,64.62,65.4,64.18,64.23,466.47637,29961.777245100002
1692968400000,2023-08-25 13:00:00,LTC/USD,64.68,64.98,64.62,64.62,47.07588,3042.0433656
1692964800000,2023-08-25 12:00:00,LTC/USD,64.69,64.89,64.66,64.68,39.32863,2543.7757884000002
1692961200000,2023-08-25 11:00:00,LTC/USD,64.54,64.76,64.54,64.69,16.29372,1054.0407468
1692957600000,2023-08-25 10:00:00,LTC/USD,64.64,64.64,64.54,64.54,11.56394,746.3366876000001
1692954000000,2023-08-25 09:00:00,LTC/USD,64.69,64.69,64.56,64.64,17.37812,1123.3216768
1692950400000,2023-08-25 08:00:00,LTC/USD,64.38,64.77,64.38,64.69,10.09463,653.0216147
1692946800000,2023-08-25 07:00:00,LTC/USD,64.37,64.51,64.37,64.38,0.88965,57.275667
1692943200000,2023-08-25 06:00:00,LTC/USD,64.28,64.38,64.06,64.37,37.27483,2399.3808071000003
1692939600000,2023-08-25 05:00:00,LTC/USD,63.99,64.28,63.76,64.28,127.19023,8175.7879844
1692936000000,2023-08-25 04:00:00,LTC/USD,64.24,64.24,63.99,63.99,53.78702,3441.8314098
1692932400000,2023-08-25 03:00:00,LTC/USD,64.56,64.59,63.79,64.24,235.36065,15119.568155999998
1692928800000,2023-08-25 02:00:00,LTC/USD,64.61,64.81,64.56,64.56,152.31684,9833.5751904
1692925200000,2023-08-25 01:00:00,LTC/USD,64.4,64.61,64.39,64.61,79.12111,5112.0149171
1692921600000,2023-08-25 00:00:00,LTC/USD,64.9,64.9,64.4,64.4,79.22597,5102.152468000001
1692918000000,2023-08-24 23:00:00,LTC/USD,64.81,64.93,64.67,64.9,41.15303,2670.8316470000004
1692914400000,2023-08-24 22:00:00,LTC/USD,64.55,64.81,64.54,64.81,21.09215,1366.9822415
1692910800000,2023-08-24 21:00:00,LTC/USD,64.2,64.59,64.2,64.55,32.52441,2099.4506655
1692907200000,2023-08-24 20:00:00,LTC/USD,64.62,64.64,64.04,64.2,48.6894,3125.85948
1692903600000,2023-08-24 19:00:00,LTC/USD,64.53,64.76,64.51,64.62,33.15262,2142.3223044
1692900000000,2023-08-24 18:00:00,LTC/USD,64.56,64.66,64.45,64.53,20.53075,1324.8492975000001
1692896400000,2023-08-24 17:00:00,LTC/USD,64.96,65.0,64.44,64.56,38.7353,2500.7509680000003
1692892800000,2023-08-24 16:00:00,LTC/USD,64.38,65.01,64.34,64.96,73.17314,4753.327174399999
1692889200000,2023-08-24 15:00:00,LTC/USD,64.58,64.58,64.31,64.38,54.9078,3534.964164
1692885600000,2023-08-24 14:00:00,LTC/USD,65.44,65.44,64.58,64.58,147.77207,9543.1202806
1692882000000,2023-08-24 13:00:00,LTC/USD,65.46,65.46,65.2,65.44,37.35553,2444.5458832
